,Combination,VotingType,F1Score
2123,DT+SVC_LIN+LGBM+XGB+LR,hard,0.874723729154109
2947,KNN+SVC_LIN+LGBM_RF+XGB+LR,hard,0.8719275855549253
2217,DT+LGBM_RF+XGB+LR+NB,hard,0.8704510259388308
5803,DT+KNN+SVC_LIN+LGBM+XGB+XGB_RF+LR,hard,0.8699633699633699
1979,DT+KNN+SVC_LIN+SVC_RBF+LR,hard,0.8698702857406638
3479,DT+RF+SVC_LIN+LGBM_RF+XGB+LR,hard,0.8692640273970226
5815,DT+KNN+SVC_LIN+LGBM_RF+XGB+LR+NB,hard,0.8688089898140361
1989,DT+KNN+SVC_LIN+LGBM+LR,hard,0.8684094737746272
2003,DT+KNN+SVC_LIN+XGB+LR,hard,0.8680476611511093
2095,DT+SVC_LIN+SVC_RBF+LGBM_RF+XGB_RF,hard,0.8673625978944814
5309,DT+RF+KNN+SVC_LIN+XGB+XGB_RF+LR,hard,0.8667872212176011
1713,DT+RF+SVC_LIN+LGBM_RF+XGB,hard,0.8667872212176011
5158,DT+RF+ETC+SVC_LIN+LGBM_RF+XGB+LR,soft,0.8667872212176011
5168,DT+RF+ETC+SVC_LIN+XGB+XGB_RF+LR,soft,0.8667872212176011
3234,DT+RF+ETC+SVC_LIN+XGB+LR,soft,0.8667872212176011
1723,DT+RF+SVC_LIN+XGB+LR,hard,0.8667872212176011
5299,DT+RF+KNN+SVC_LIN+LGBM_RF+XGB+LR,hard,0.8667872212176011
2179,DT+SVC_RBF+LGBM_RF+XGB_RF+LR,hard,0.8665883044372612
5865,DT+SVC_LIN+SVC_RBF+LGBM+LGBM_RF+XGB+LR,hard,0.8663463377318799
5704,DT+ETC+SVC_LIN+LGBM_RF+XGB_RF+LR+NB,soft,0.8659318048206938
219,DT+LGBM+LR,hard,0.8658193543960756
5703,DT+ETC+SVC_LIN+LGBM_RF+XGB+LR+NB,hard,0.8657041904957928
7233,DT+SVC_LIN+SVC_RBF+LGBM_RF+XGB+XGB_RF+LR+NB,hard,0.8657041904957928
7849,DT+ETC+KNN+SVC_LIN+LGBM_RF+XGB+XGB_RF+LR+NB,hard,0.865660443973697
1890,DT+ETC+SVC_LIN+XGB+LR,soft,0.865660443973697
5429,DT+RF+SVC_LIN+LGBM+LGBM_RF+XGB+LR,hard,0.8656397742870215
5439,DT+RF+SVC_LIN+LGBM+XGB+XGB_RF+LR,hard,0.8656397742870215
1785,DT+RF+LGBM_RF+XGB+LR,hard,0.8656397742870215
6973,DT+RF+SVC_LIN+LGBM+LGBM_RF+XGB+XGB_RF+LR,hard,0.8656397742870215
7767,DT+RF+KNN+SVC_LIN+LGBM+LGBM_RF+XGB+XGB_RF+LR,hard,0.8656397742870215
5793,DT+KNN+SVC_LIN+LGBM+LGBM_RF+XGB+LR,hard,0.8656397742870215
5487,DT+RF+LGBM+LGBM_RF+XGB+XGB_RF+LR,hard,0.8656397742870215
